RE	TF	cnt	HOTness
chrII:13007716-13007899	blmp-1,elt-1,nhr-25	3	cold
chrII:13008150-13008279	hlh-1,lsy-2,nhr-71,rnt-1,sma-9,snu-23,unc-55	7	cold
chrII:13010590-13010755	dsc-1	1	cold
chrII:13012561-13012694	ceh-14,ceh-31,ces-1,dsc-1,fkh-8,nfya-1,nhr-47,ref-2,snu-23,swsn-7,unc-42,unc-86	12	cold
chrII:13014075-13014193	aly-2,ceh-28,crh-2,dve-1,eor-1,nhr-71,nhr-85,rbr-2,snpc-4,snu-23,swsn-7,unc-55	12	cold
chrII:13014745-13014891	cebp-1,efl-1,elt-2	3	cold
chrII:13015070-13015149	cebp-1,dsc-1,efl-1,elt-2,fos-1,nhr-80,ztf-18	7	cold
chrII:13015152-13015294	dsc-1,fos-1,nhr-80,ztf-18	4	cold
chrII:13016469-13016590	atf-7,cebp-1,ceh-18,ceh-2,ceh-31,ceh-82,ces-1,crh-2,daf-16,dpl-1,dsc-1,duxl-1,dve-1,efl-1,elt-2,eor-1,fkh-8,hlh-30,irx-1,jun-1,lin-35,lsy-12,lsy-2,madf-10,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pha-4,rbr-2,ref-2,rnt-1,sem-4,sma-3,sma-9,snpc-4,snu-23,spr-1,swsn-7,tbx-2,unc-55,unc-86,xbp-1,ztf-11	51	HOT
chrII:13020766-13020870	.	0	cold
chrII:13021501-13021722	.	0	cold
chrII:13022117-13022385	blmp-1,unc-55	2	cold
chrII:13023171-13023295	eor-1	1	cold
chrII:13026088-13026226	cebp-1,daf-16,dve-1,elt-2,eor-1,fos-1,hlh-30,jun-1,lsy-2,nhr-80,pha-4,pqm-1	12	cold
chrII:13026693-13026880	pha-4	1	cold
chrII:13028501-13028627	.	0	cold
chrII:13029180-13029397	cebp-1,ceh-28,daf-16,elt-1,fos-1,nhr-23,nhr-80,pqm-1,rnt-1,sma-3,snu-23	11	cold
chrII:13029583-13029663	elt-1,elt-2,eor-1,pqm-1,sma-3	5	cold
chrII:13029777-13029853	cebp-1,elt-2,eor-1,nhr-80,pqm-1	5	cold
chrII:13030052-13030243	cebp-1,ceh-31,ceh-34,ces-1,hlh-1,rnt-1,sptf-1	7	cold
chrII:13030836-13030992	blmp-1,cebp-1,ceh-18,ceh-2,ceh-28,ceh-31,ceh-82,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,elt-2,elt-3,eor-1,ets-4,fos-1,hif-1,hlh-30,hlh-8,hmg-11,irx-1,jun-1,lin-35,lsy-12,lsy-2,madf-10,mdl-1,nfya-1,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-90,pha-4,pros-1,rbr-2,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,swsn-7,tbx-2,unc-130,unc-55,xbp-1,xnd-1,ztf-4	58	HOT
chrII:13032060-13032227	.	0	cold
chrII:13032626-13032951	.	0	cold
chrII:13036788-13036890	ceh-48,ces-1,crh-2,dpl-1,efl-1,eor-1,hif-1,let-607,lin-35,lsy-2,nhr-47,nhr-80,pag-3,pha-4,snpc-4,snu-23,swsn-7,unc-130,unc-55	19	HOT
chrII:13043519-13043716	xnd-1	1	cold
chrII:13050126-13050271	snpc-4	1	cold
chrII:13051953-13052033	snpc-4	1	cold
chrII:13052067-13052237	fos-1,nhr-80,snpc-4	3	cold
chrII:13053374-13053489	blmp-1	1	cold
chrII:13055077-13055238	.	0	cold
chrII:13055377-13055581	.	0	cold
chrII:13056670-13056834	daf-16,pag-3,rnt-1	3	cold
chrII:13059169-13059346	.	0	cold
chrII:13060889-13061021	.	0	cold
chrII:13061877-13062034	fkh-8	1	cold
chrII:13062206-13062362	ceh-31	1	cold
chrII:13063613-13063744	.	0	cold
chrII:13065179-13065407	ceh-18,crh-2,daf-16,dpl-1,eor-1,hif-1,hlh-30,lsy-2,mdl-1,nhr-20,nhr-71,rbr-2,rnt-1,sma-9,snpc-4,snu-23,swsn-7,unc-130,unc-55,vab-15	20	HOT
chrII:13065575-13065759	.	0	cold
chrII:13066174-13066365	.	0	cold
chrII:13066828-13067051	cebp-1,ceh-18,ceh-31,daf-16,dsc-1,egl-5,elt-1,eor-1,hif-1,hlh-1,lsy-2,mef-2,nhr-20,nhr-71,pag-3,rnt-1,sma-9,snu-23,swsn-7,unc-55	20	HOT
chrII:13067842-13068099	.	0	cold
chrII:13068803-13069020	hif-1,hlh-30	2	cold
chrII:13070973-13071081	.	0	cold
chrII:13071257-13071434	fkh-10,sma-9,unc-42	3	cold
chrII:13071807-13071952	daf-16,pha-4,pqm-1	3	cold
chrII:13073142-13073305	daf-16,dve-1,elt-2,fos-1,hlh-30,mdl-1,nhr-48,nhr-80,pqm-1	9	cold
chrII:13073534-13073674	atf-7,cebp-1,elt-2,nhr-80	4	cold
chrII:13074889-13075069	daf-16,elt-2,eor-1,nhr-80	4	cold
chrII:13076384-13076534	cebp-1,daf-16,elt-2,fos-1,mdl-1,nhr-80,pha-4,pqm-1,sma-9	9	cold
chrII:13076661-13076754	daf-16	1	cold
chrII:13077822-13077986	atf-7,cebp-1,crh-2,daf-16,dve-1,elt-2,eor-1,fos-1,hif-1,hlh-30,jun-1,let-607,madf-10,mdl-1,nhr-102,nhr-20,nhr-48,nhr-71,nhr-80,nhr-90,pha-4,pqm-1,repo-1,sma-3,sma-9,snpc-4	26	HOT
chrII:13078594-13078732	.	0	cold
chrII:13078917-13079092	crh-2,daf-16,dve-1,elt-2,fos-1,hlh-30,mdl-1,nhr-102,nhr-20,nhr-48,nhr-80,nhr-90,pha-4,pqm-1,sma-9	15	cold
chrII:13083835-13083946	aly-2,ceh-82,crh-2,dpl-1,dsc-1,efl-1,eor-1,fkh-8,fos-1,hmg-11,irx-1,lin-35,lsy-2,nfya-1,nhr-20,nhr-21,nhr-47,nhr-71,nhr-90,rnt-1,skn-1,sma-3,sma-9,snpc-4,snu-23,swsn-7,unc-130,unc-42,unc-55,unc-86,xbp-1,ztf-11	32	HOT
chrII:13091336-13091565	.	0	cold
chrII:13106304-13106511	.	0	cold
chrII:13106962-13107132	.	0	cold
chrII:13107453-13107667	nhr-25	1	cold
chrII:13116734-13116884	nhr-80	1	cold
chrII:13117198-13117300	ahr-1,atf-7,athp-1,cebp-1,ceh-14,ceh-2,ceh-31,ceh-34,ceh-79,ceh-82,ceh-90,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,duxl-1,efl-1,egl-13,egl-5,elt-2,eor-1,ets-4,fax-1,fkh-8,fos-1,hif-1,hlh-15,hlh-4,hlh-8,hmg-11,irx-1,let-607,lim-6,lin-35,lir-3,lsy-2,madf-10,mdl-1,nhr-102,nhr-20,nhr-21,nhr-23,nhr-47,nhr-71,nhr-85,nhr-90,pha-2,pqm-1,rbr-2,rec-8,ref-2,rnt-1,sdc-2,sem-4,sma-3,sma-9,snpc-4,snu-23,sptf-1,swsn-7,tbx-2,tbx-7,ttx-3,unc-130,unc-42,unc-55,unc-86,vab-15,xbp-1,zip-5,ztf-11,ztf-18	74	HOT
chrII:13122591-13122695	.	0	cold
chrII:13136916-13137105	.	0	cold
chrII:13139440-13139598	.	0	cold
chrII:13145114-13145395	hlh-30,mdl-1,nhr-21,nhr-23,nhr-48,unc-130	6	cold
chrII:13148056-13148231	.	0	cold
chrII:13148348-13148491	blmp-1,elt-3,nhr-20,nhr-21,nhr-23	5	cold
chrII:13150024-13150185	blmp-1,dpl-1,elt-3,hlh-30,jun-1,mdl-1,nhr-20,nhr-21,nhr-23,sma-3,sma-9,snu-23,tbx-2,ztf-26	14	cold
chrII:13157035-13157144	aha-1,aly-2,atf-7,athp-1,blmp-1,cebp-1,ceh-18,ceh-28,ceh-31,ceh-82,ceh-90,ces-1,crh-2,daf-16,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,egl-5,elt-2,elt-3,eor-1,ets-4,fkh-10,fkh-8,fos-1,hif-1,him-1,hlh-1,hlh-30,hmg-11,irx-1,jun-1,lin-35,lir-3,lsy-12,lsy-2,madf-10,mdl-1,mef-2,nfya-1,nhr-10,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-84,nhr-85,nhr-90,pha-4,rbr-2,ref-2,repo-1,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,tbx-2,unc-130,unc-42,unc-55,unc-86,xbp-1,xnd-1,ztf-11,ztf-18,ztf-4,ztf-7	81	HOT
chrII:13164174-13164340	.	0	cold
chrII:13165875-13166035	cebp-1,daf-16,dpl-1,dve-1,elt-2,fos-1,hlh-30,mdl-1,nhr-102,nhr-20,nhr-48,nhr-80,skn-1,sma-9,snu-23	15	cold
chrII:13167501-13167669	blmp-1,cebp-1,nhr-25,nhr-48,spr-1,zip-8	6	cold
chrII:13167850-13167999	.	0	cold
chrII:13170738-13170980	.	0	cold
chrII:13171733-13171936	dpl-1,pha-4	2	cold
chrII:13172758-13173048	ceh-31,nhr-25	2	cold
chrII:13174411-13174640	nhr-23	1	cold
chrII:13181613-13181875	fkh-8	1	cold
chrII:13182578-13182733	.	0	cold
chrII:13187256-13187362	ceh-31,ceh-82,ces-1,crh-2,daf-16,dpl-1,efl-1,fkh-8,hmg-11,irx-1,lin-35,lsy-2,nhr-23,nhr-47,nhr-71,nhr-90,pha-4,rbr-2,rnt-1,snu-23,swsn-7,unc-55	22	HOT
chrII:13187596-13187752	blmp-1,nhr-25	2	cold
chrII:13189446-13189629	cebp-1,ceh-18,ceh-34,crh-2,daf-16,dpl-1,efl-1,egl-5,elt-3,eor-1,fos-1,hlh-30,hmg-11,irx-1,lin-35,lsy-2,madf-10,mdl-1,nhr-20,nhr-21,nhr-25,nhr-47,nhr-71,nhr-80,nhr-85,nhr-90,pag-3,pha-4,ref-2,rnt-1,sma-3,sma-9,snpc-4,snu-23,swsn-7,tbx-2,unc-130,unc-55,xbp-1	39	HOT
chrII:13190456-13190605	crh-2,daf-16,dve-1,elt-2,fos-1,hlh-30,let-607,lsy-2,nhr-71,nhr-80,pha-4,pqm-1,sma-9	13	cold
chrII:13191111-13191266	.	0	cold
chrII:13193519-13193918	blmp-1,cebp-1,dsc-1,fkh-8,hlh-30,hlh-8,irx-1,lin-35,mdl-1,nhr-71,sma-9,snu-23	12	cold
chrII:13195218-13195366	cebp-1,ceh-14,ceh-18,ceh-31,ceh-34,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-5,elt-2,ets-4,fkh-10,fkh-2,fkh-8,fos-1,hif-1,hlh-1,hlh-30,hmg-11,irx-1,jun-1,let-607,lim-6,lin-35,lir-3,lsy-2,madf-10,mdl-1,nfya-1,nhr-20,nhr-21,nhr-23,nhr-47,nhr-71,nhr-80,pha-4,pqm-1,rbr-2,rnt-1,sem-4,sma-3,sma-9,snpc-4,snu-23,swsn-7,tbx-2,unc-42,unc-55,unc-86,xbp-1	55	HOT
chrII:13195614-13195747	cebp-1,eor-1,nhr-80,nhr-90	4	cold
chrII:13196113-13196263	.	0	cold
chrII:13196753-13196906	cebp-1,ces-1,dve-1,efl-1,fos-1,hlh-30,hmg-11,jun-1,lin-35,lsy-2,madf-10,mdl-1,nhr-23,nhr-25,nhr-71,nhr-90,pha-4,rbr-2,rnt-1,sem-4,snu-23,swsn-7,unc-55	23	HOT
chrII:13197193-13197269	.	0	cold
chrII:13197452-13197618	.	0	cold
chrII:13198245-13198625	.	0	cold
chrII:13198857-13199052	ceh-31,dve-1,lsy-2,pha-4,tbx-2	5	cold
chrII:13199726-13199855	aha-1,ahr-1,aly-2,atf-7,cebp-1,ceh-14,ceh-18,ceh-2,ceh-28,ceh-31,ceh-34,ceh-82,ceh-90,ces-1,cog-1,crh-2,daf-16,dmd-4,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,egl-5,elt-2,elt-3,eor-1,ets-4,eyg-1,fax-1,fkh-8,fos-1,hif-1,him-1,hlh-15,hlh-30,hlh-4,hlh-8,hmg-11,hnd-1,irx-1,jun-1,let-607,lim-6,lin-35,lir-3,lsy-12,lsy-2,madf-10,madf-2,mdl-1,mls-2,nfya-1,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,npax-4,pha-2,pha-4,pop-1,pqm-1,rbr-2,rec-8,ref-2,repo-1,rnt-1,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,tbx-2,tbx-7,tra-4,ttx-3,unc-130,unc-3,unc-42,unc-55,unc-86,vab-15,xbp-1,zfp-2,zip-5,ztf-11,ztf-16,ztf-18,ztf-26,ztf-4	101	HOT
chrII:13199903-13199997	aha-1,ahr-1,aly-2,atf-7,cebp-1,ceh-14,ceh-18,ceh-2,ceh-28,ceh-31,ceh-34,ceh-82,ceh-90,ces-1,cog-1,crh-2,daf-16,dmd-4,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,egl-5,elt-2,elt-3,eor-1,ets-4,eyg-1,fax-1,fkh-8,fos-1,hif-1,him-1,hlh-15,hlh-30,hlh-4,hlh-8,hmg-11,hnd-1,irx-1,jun-1,let-607,lim-6,lin-35,lir-3,lsy-12,lsy-2,madf-10,madf-2,mdl-1,mls-2,nfya-1,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,npax-4,pha-2,pha-4,pop-1,pqm-1,rbr-2,rec-8,ref-2,repo-1,rnt-1,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,tbx-2,tbx-7,tra-4,ttx-3,unc-130,unc-3,unc-42,unc-55,unc-86,vab-15,xbp-1,zfp-2,zip-5,ztf-11,ztf-16,ztf-18,ztf-26,ztf-4	101	HOT
chrII:13212276-13212396	.	0	cold
chrII:13234894-13235014	unc-55	1	cold
chrII:13237911-13238015	aly-2,blmp-1,ceh-82,ceh-90,ces-1,crh-2,daf-16,dpl-1,dsc-1,duxl-1,efl-1,egl-13,egl-5,elt-2,elt-3,eor-1,fkh-8,fos-1,him-1,hmg-11,irx-1,jun-1,let-607,lin-35,lir-3,lsy-2,mdl-1,nfya-1,nhr-102,nhr-20,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-85,nhr-90,pha-4,rbr-2,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,swsn-7,tbx-2,unc-130,unc-30,unc-42,unc-55,unc-86,xbp-1,xnd-1,ztf-11,ztf-18,ztf-4	58	HOT
chrII:13238241-13238407	ztf-18	1	cold
chrII:13245135-13245341	.	0	cold
chrII:13260608-13260777	efl-1,him-1,xnd-1	3	cold
chrII:13265582-13265753	rpc-1	1	cold
chrII:13265865-13265984	unc-42	1	cold
chrII:13279292-13279457	athp-1,duxl-1,hif-1,lsy-12,nhr-47,nhr-71,sma-3,snu-23,tbx-2,zip-5,ztf-4	11	cold
chrII:13279842-13279945	cebp-1,efl-1,hlh-30,unc-55	4	cold
chrII:13280102-13280253	.	0	cold
chrII:13281230-13281399	hlh-30	1	cold
chrII:13281618-13281769	.	0	cold
chrII:13284038-13284167	pha-4,zip-8	2	cold
chrII:13284922-13285130	.	0	cold
chrII:13285431-13285565	pha-4	1	cold
chrII:13287711-13287839	.	0	cold
chrII:13288242-13288450	hlh-30,nhr-71	2	cold
chrII:13289591-13289741	pha-4	1	cold
chrII:13290554-13290674	cebp-1,daf-16,dve-1,efl-1,elt-3,jun-1,lir-3,nhr-20,nhr-23,pha-4,rnt-1,sma-9,snu-23,swsn-7	14	cold
chrII:13290797-13290901	cebp-1,efl-1,elt-3,nhr-20,nhr-23,sma-9,snpc-4,swsn-7,unc-55	9	cold
chrII:13291531-13291819	aha-1,aly-1,blmp-1,ceh-14,ceh-18,ceh-2,ceh-22,ceh-28,ceh-31,ceh-34,cog-1,die-1,dpl-1,duxl-1,dve-1,efl-1,egl-5,elt-1,elt-3,eor-1,ets-4,ets-7,fos-1,hif-1,hlh-30,irx-1,jun-1,lin-35,lir-3,lsy-12,lsy-2,mdl-1,mls-2,nfya-1,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-76,nhr-80,nhr-85,nhr-90,pha-2,pha-4,pros-1,rbr-2,ref-2,rnt-1,sem-4,sma-3,sma-9,snpc-4,snu-23,sptf-1,swsn-7,tbx-2,unc-55,xbp-1,zip-5,ztf-11,ztf-16,ztf-26,ztf-4	67	HOT
chrII:13292910-13293136	blmp-1,ceh-28,dpl-1,dsc-1,elt-3,fos-1,hlh-30,lsy-2,mdl-1,nhr-20,nhr-21,nhr-23,nhr-71,nhr-85,nhr-90,sma-3,sma-9,snu-23	18	HOT
chrII:13293477-13293732	ceh-36,nhr-23,sma-9	3	cold
chrII:13294661-13294796	ceh-18,ceh-31,ces-1,dsc-1,hlh-1,rnt-1,snu-23	7	cold
chrII:13295913-13296024	atf-7	1	cold
chrII:13297324-13297527	elt-3,mdl-1,nhr-21,nhr-71,nhr-85	5	cold
chrII:13298023-13298202	snpc-4	1	cold
chrII:13298527-13298731	atf-7,cebp-1,crh-2,daf-16,dve-1,elt-2,eor-1,fos-1,hlh-30,jun-1,let-607,madf-10,mdl-1,nhr-102,nhr-20,nhr-48,nhr-71,nhr-80,nhr-90,pha-4,pqm-1,skn-1,sma-3,sma-9,snpc-4,spr-1	26	HOT
chrII:13299462-13299703	cebp-1,crh-2,daf-16,dve-1,elt-2,eor-1,fos-1,hif-1,hlh-30,jun-1,lsy-2,mdl-1,nhr-71,nhr-80,pha-4,pqm-1,sma-9	17	cold
chrII:13302139-13302359	.	0	cold
chrII:13302772-13302977	.	0	cold
chrII:13304573-13304708	daf-16,elt-2,hlh-30,lin-35,lsy-2,nhr-71,nhr-80,pha-4,snu-23,swsn-7,unc-55,unc-86	12	cold
chrII:13330419-13330650	.	0	cold
chrII:13333263-13333340	ces-1,daf-16,fos-1,pha-4,unc-42	5	cold
chrII:13333432-13333544	daf-16,elt-2,eor-1,fos-1,mdl-1,nhr-80,pha-4,pqm-1	8	cold
chrII:13335164-13335602	aha-1,blmp-1,cebp-1,ceh-14,ceh-18,ceh-2,ceh-22,ceh-28,ceh-30,ceh-31,ceh-32,ceh-34,ceh-48,ceh-82,ces-1,cog-1,crh-2,daf-16,die-1,dpl-1,dsc-1,duxl-1,dve-1,efl-1,egl-13,elt-1,elt-2,elt-3,eor-1,ets-4,ets-7,eyg-1,fax-1,fkh-10,fkh-8,fos-1,gmeb-2,hif-1,him-1,hlh-1,hlh-30,hlh-8,hmg-11,irx-1,jun-1,lim-6,lin-35,lsy-12,lsy-2,madf-10,madf-2,mdl-1,mls-2,nfya-1,nhr-10,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-90,peb-1,pha-2,pha-4,pros-1,rbr-2,ref-2,rnt-1,sdc-2,sem-4,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,syd-9,tbx-2,tbx-7,unc-130,unc-42,unc-55,unc-86,xbp-1,zfp-2,ztf-11,ztf-16,ztf-18,ztf-26,ztf-4	95	HOT
chrII:13338033-13338134	ceh-18,ceh-82,ces-1,dpl-1,dsc-1,efl-1,eor-1,hlh-30,hmg-11,lin-35,lsy-2,nhr-20,nhr-23,nhr-47,nhr-71,pha-4,rnt-1,snu-23,swsn-7,unc-130,unc-55,unc-86,xbp-1	23	HOT
chrII:13338221-13338298	ceh-82,ces-1,dsc-1,efl-1,eor-1,hlh-30,hmg-11,lin-35,lsy-2,nhr-20,nhr-23,nhr-47,nhr-71,pha-4,rnt-1,snu-23,swsn-7,unc-130,unc-55,unc-86,xbp-1	21	HOT
chrII:13338651-13338777	.	0	cold
chrII:13339961-13340087	xnd-1	1	cold
chrII:13358004-13358217	.	0	cold
chrII:13369311-13369417	alr-1,blmp-1,ceh-14,ceh-28,ceh-30,ceh-31,ceh-48,ceh-82,ces-1,cog-1,crh-2,daf-16,dpl-1,dve-1,efl-1,egl-13,egl-5,elt-3,eor-1,fkh-8,hlh-30,hmg-11,irx-1,jun-1,lin-35,lsy-2,mdl-1,nfya-1,nhr-21,nhr-23,nhr-25,nhr-85,nhr-90,pax-1,pha-4,rbr-2,skn-1,snpc-4,snu-23,spr-1,sptf-1,tbx-2,unc-130,unc-42,unc-55,unc-86,xbp-1,xnd-1,ztf-11,ztf-16,ztf-4,ztf-7	52	HOT
chrII:13380493-13380760	.	0	cold
chrII:13383075-13383323	.	0	cold
chrII:13388404-13388576	.	0	cold
chrII:13394285-13394550	hlh-1	1	cold
chrII:13415308-13415515	.	0	cold
chrII:13446351-13446559	.	0	cold
chrII:13446653-13446793	nfya-1	1	cold
chrII:13447743-13447863	aha-1,atf-7,blmp-1,cebp-1,ceh-18,ceh-28,ceh-31,ceh-82,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-5,elt-2,elt-3,eor-1,ets-4,fkh-10,fkh-2,fkh-8,fos-1,hif-1,hlh-1,hlh-30,hmg-11,irx-1,jun-1,let-607,lin-35,lsy-2,madf-10,mdl-1,mef-2,nfya-1,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-71,nhr-80,nhr-85,nhr-90,pha-4,pqm-1,rbr-2,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,swsn-7,tbx-2,unc-130,unc-42,unc-55,unc-86,xbp-1,ztf-26,ztf-4	67	HOT
chrII:13448200-13448432	.	0	cold
chrII:13448868-13449101	efl-1,hmg-11	2	cold
chrII:13456656-13456794	cebp-1,ceh-18,ceh-31,ceh-34,crh-2,daf-16,dve-1,elt-2,eor-1,fos-1,hlh-1,hlh-6,hlh-8,hmg-11,lin-35,mdl-1,nfya-1,nhr-20,nhr-80,pha-4,ref-2,rnt-1,sma-3,sma-9,snpc-4,snu-23,swsn-7,tbx-2,unc-42,unc-55	30	HOT
chrII:13460275-13460388	ceh-14	1	cold
chrII:13460747-13460875	aha-1,atf-7,athp-1,blmp-1,cebp-1,ceh-28,ceh-30,ces-1,cog-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-5,elt-2,elt-3,fos-1,hif-1,hlh-1,hlh-30,hmg-11,irx-1,jun-1,lin-35,lsy-12,lsy-2,mdl-1,nfya-1,nhr-102,nhr-12,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pag-3,pax-1,pha-4,rbr-2,repo-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,sptf-1,swsn-7,tbx-2,unc-130,unc-42,unc-55,xbp-1,zfp-2,ztf-26,ztf-4,ztf-7	65	HOT
chrII:13461098-13461273	atf-7,daf-16,hlh-30,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,repo-1,rnt-1,snpc-4,snu-23,xbp-1,ztf-26	14	cold
chrII:13461486-13461649	eor-1,rnt-1	2	cold
chrII:13461964-13462140	aha-1,atf-7,blmp-1,cebp-1,ceh-18,ceh-28,ceh-34,ceh-82,cog-1,crh-2,daf-16,dpl-1,dsc-1,duxl-1,dve-1,efl-1,elt-1,elt-2,elt-3,ets-4,ets-7,fkh-8,fos-1,hif-1,hlh-1,hlh-30,hmg-11,irx-1,jun-1,let-607,lin-35,lsy-12,lsy-2,madf-10,mdl-1,mef-2,nfya-1,nhr-10,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pha-4,pqm-1,rbr-2,rnt-1,sem-4,skn-1,sma-3,sma-9,snpc-4,snu-23,spr-1,swsn-7,tbx-2,unc-130,unc-55,xbp-1,ztf-16,ztf-18,ztf-26,ztf-4	69	HOT
chrII:13462483-13462587	elt-2,nhr-80	2	cold
chrII:13465147-13465246	ceh-28,daf-16,mdl-1,nhr-102,snu-23	5	cold
chrII:13465373-13465562	blmp-1,cebp-1,crh-2,daf-16,dve-1,elt-2,eor-1,fos-1,hif-1,hlh-30,jun-1,mdl-1,nhr-102,nhr-25,nhr-48,nhr-80,pha-4,pqm-1,skn-1,sma-3	20	HOT
chrII:13465860-13465993	daf-16,nhr-71,nhr-85,rnt-1,snu-23	5	cold
chrII:13466747-13466968	daf-16	1	cold
chrII:13467802-13467929	atf-7,hif-1,hlh-30,skn-1,ztf-7	5	cold
chrII:13468029-13468196	atf-7,ceh-28,crh-2,daf-16,dve-1,elt-2,eor-1,fos-1,hif-1,hlh-30,jun-1,lsy-2,mdl-1,nhr-102,nhr-20,nhr-48,nhr-71,nhr-80,pha-4,pqm-1,skn-1,sma-3,sma-9,ztf-7	24	HOT
chrII:13468709-13468907	.	0	cold
chrII:13469221-13469390	atf-7,blmp-1,cebp-1,ceh-18,ceh-28,crh-2,daf-16,dpl-1,dve-1,efl-1,elt-2,elt-3,eor-1,fos-1,hif-1,hlh-1,hlh-30,jun-1,lin-35,lsy-2,madf-10,mdl-1,nfya-1,nhr-102,nhr-20,nhr-21,nhr-23,nhr-25,nhr-47,nhr-48,nhr-71,nhr-80,nhr-85,nhr-90,pha-4,pqm-1,rnt-1,sma-3,sma-9,snpc-4,snu-23,spr-1,swsn-7,tbx-2,unc-130,xbp-1,ztf-26,ztf-4,ztf-7	49	HOT
chrII:13469663-13469841	fkh-8	1	cold
chrII:13470270-13470408	.	0	cold
chrII:13470572-13470787	daf-16,eor-1,nhr-48	3	cold
chrII:13470997-13471216	daf-16	1	cold
chrII:13472204-13472388	hlh-1,rnt-1	2	cold
chrII:13472658-13472825	.	0	cold
chrII:13473937-13474049	ces-1	1	cold
chrII:13474547-13474823	fkh-8	1	cold
chrII:13475352-13475637	fkh-8,nhr-71,unc-86	3	cold
chrII:13477345-13477566	ceh-31,ceh-82,ces-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,elt-2,fkh-10,fkh-8,hif-1,hlh-30,hmg-11,irx-1,lin-35,lsy-2,nhr-20,nhr-21,nhr-23,nhr-47,nhr-71,nhr-80,nhr-85,nhr-90,rbr-2,rnt-1,sma-3,sma-9,snpc-4,snu-23,sptf-1,swsn-7,unc-130,unc-55,unc-86,xbp-1,ztf-11	39	HOT
chrII:13480563-13480877	.	0	cold
chrII:13491262-13491396	xnd-1	1	cold
chrII:13494840-13494940	athp-1,cebp-1,ceh-82,ces-1,crh-2,daf-16,dpl-1,dsc-1,dve-1,efl-1,egl-13,elt-2,eor-1,hif-1,hlh-30,hmg-11,irx-1,lin-35,lsy-2,nfya-1,nhr-20,nhr-47,nhr-71,nhr-80,nhr-90,pha-4,rbr-2,rnt-1,sma-3,snpc-4,snu-23,swsn-7,unc-130,unc-42,unc-55,xbp-1,ztf-7	37	HOT
chrII:13495795-13495917	ceh-28,crh-2,daf-16,dve-1,elt-2,fos-1,lsy-2,nhr-80,pha-4	9	cold
chrII:13500620-13500767	ceh-18,egl-5,hlh-1,nfya-1,rnt-1,sma-9,snu-23,unc-55	8	cold
chrII:13503799-13503969	unc-55,unc-86	2	cold
chrII:13506162-13506400	daf-16,elt-2,fos-1,nfya-1,nhr-80,pqm-1,skn-1	7	cold
chrII:13507627-13507781	daf-16,dve-1,elt-2,fos-1,nhr-80,pqm-1,skn-1	7	cold
chrII:13508209-13508375	.	0	cold
chrII:13508630-13508757	elt-2,eor-1,fos-1,nhr-80,pqm-1	5	cold
